,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
7056,English,English,,,,,,
7057,English,English,,,,,,
7058,English,English,,,,,,
7059,English,English,,,,,,
7060,English,English,,,,,,
7061,French,French,,,,,,
7062,Telugu,Telugu,,,,,,
7063,Tamil,Tamil,,,,,,
7064,English,English,,,,,,
7065,English,English,,,,,,
7066,English,English,,,,,,
7067,Hindi,Hindi,,,,,,
7068,English,English,,,,,,
7069,French,French,,,,,,
7070,English,English,,,,,,
7071,English,English,,,,,,
7072,English,English,,,,,,
7073,English,English,,,,,,
7074,English,English,,,,,,
7075,Mandarin,Mandarin,,,,,,
7076,English,English,,,,,,
7077,English,English,,,,,,
7078,English,English,,,,,,
7079,English,English,,,,,,
7080,English,English,,,,,,
7081,English,English,,,,,,
7082,English,English,,,,,,
7083,Telugu,Telugu,,,,,,
7084,English,English,,,,,,
7085,English,English,,,,,,
7086,"Spanish,Korean",Spanish,Korean,,,,,
7087,English,English,,,,,,
7088,"English,Hindi,Punjabi",English,Hindi,Punjabi,,,,
7089,English,English,,,,,,
7090,English,English,,,,,,
7091,Cantonese,Cantonese,,,,,,
7092,English,English,,,,,,
7093,,,,,,,,
7094,English,English,,,,,,
7095,English,English,,,,,,
7096,English,English,,,,,,
7097,English,English,,,,,,
7098,English,English,,,,,,
7099,English,English,,,,,,
7100,English,English,,,,,,
7101,English,English,,,,,,
7102,English,English,,,,,,
7103,English,English,,,,,,
7104,French,French,,,,,,
7105,"Hindi,Urdu",Hindi,Urdu,,,,,
7106,English,English,,,,,,
7107,English,English,,,,,,
7108,English,English,,,,,,
7109,English,English,,,,,,
7110,Spanish,Spanish,,,,,,
7111,English,English,,,,,,
7112,Hindi,Hindi,,,,,,
7113,English,English,,,,,,
7114,Japanese,Japanese,,,,,,
7115,English,English,,,,,,
7116,English,English,,,,,,
7117,English,English,,,,,,
7118,Marathi,Marathi,,,,,,
7119,English,English,,,,,,
7120,English,English,,,,,,
7121,English,English,,,,,,
7122,French,French,,,,,,
7123,Zulu,Zulu,,,,,,
7124,English,English,,,,,,
7125,Telugu,Telugu,,,,,,
7126,,,,,,,,
7127,English,English,,,,,,
7128,English,English,,,,,,
7129,Malayalam,Malayalam,,,,,,
7130,Telugu,Telugu,,,,,,
7131,English,English,,,,,,
7132,"Albanian,French",Albanian,French,,,,,
7133,Telugu,Telugu,,,,,,
7134,English,English,,,,,,
7135,English,English,,,,,,
7136,English,English,,,,,,
7137,Telugu,Telugu,,,,,,
7138,English,English,,,,,,
7139,English,English,,,,,,
7140,English,English,,,,,,
7141,English,English,,,,,,
7142,English,English,,,,,,
7143,English,English,,,,,,
7144,English,English,,,,,,
7145,English,English,,,,,,
7146,"English,Hindi",English,Hindi,,,,,
7147,English,English,,,,,,
7148,,,,,,,,
7149,English,English,,,,,,
7150,English,English,,,,,,
7151,English,English,,,,,,
7152,English,English,,,,,,
7153,English,English,,,,,,
7154,English,English,,,,,,
7155,English,English,,,,,,
7156,English,English,,,,,,
7157,English,English,,,,,,
7158,English,English,,,,,,
7159,English,English,,,,,,
7160,English,English,,,,,,
7161,English,English,,,,,,
7162,English,English,,,,,,
7163,English,English,,,,,,
7164,Italian,Italian,,,,,,
7165,"None,English",None,English,,,,,
7166,Japanese,Japanese,,,,,,
7167,English,English,,,,,,
7168,English,English,,,,,,
7169,"English,Italian,French",English,Italian,French,,,,
7170,Telugu,Telugu,,,,,,
7171,Italian,Italian,,,,,,
7172,English,English,,,,,,
7173,,,,,,,,
7174,English,English,,,,,,
7175,English,English,,,,,,
7176,English,English,,,,,,
7177,English,English,,,,,,
7178,English,English,,,,,,
7179,English,English,,,,,,
7180,English,English,,,,,,
7181,English,English,,,,,,
7182,Hindi,Hindi,,,,,,
7183,English,English,,,,,,
7184,,,,,,,,
7185,English,English,,,,,,
7186,English,English,,,,,,
7187,English,English,,,,,,
7188,English,English,,,,,,
7189,English,English,,,,,,
7190,English,English,,,,,,
7191,English,English,,,,,,
7192,English,English,,,,,,
7193,"English,Spanish,Russian,German,Lingala",English,Spanish,Russian,German,Lingala,,
7194,English,English,,,,,,
7195,English,English,,,,,,
7196,English,English,,,,,,
7197,English,English,,,,,,
7198,"Cantonese,Mandarin",Cantonese,Mandarin,,,,,
7199,Tamil,Tamil,,,,,,
7200,English,English,,,,,,
7201,English,English,,,,,,
7202,French,French,,,,,,
7203,English,English,,,,,,
7204,Telugu,Telugu,,,,,,
7205,English,English,,,,,,
7206,"Flemish,Dutch,English,French",Flemish,Dutch,English,French,,,
7207,"Yoruba,English",Yoruba,English,,,,,
7208,English,English,,,,,,
7209,English,English,,,,,,
7210,English,English,,,,,,
7211,"English,Mandarin",English,Mandarin,,,,,
7212,English,English,,,,,,
7213,,,,,,,,
7214,Tamil,Tamil,,,,,,
7215,English,English,,,,,,
7216,English,English,,,,,,
7217,English,English,,,,,,
7218,English,English,,,,,,
7219,English,English,,,,,,
7220,,,,,,,,
7221,"Filipino,Tagalog",Filipino,Tagalog,,,,,
7222,Hindi,Hindi,,,,,,
7223,English,English,,,,,,
7224,English,English,,,,,,
7225,English,English,,,,,,
7226,Korean,Korean,,,,,,
7227,Japanese,Japanese,,,,,,
7228,English,English,,,,,,
7229,English,English,,,,,,
7230,English,English,,,,,,
7231,English,English,,,,,,
7232,"English,Mohawk,French",English,Mohawk,French,,,,
7233,English,English,,,,,,
7234,English,English,,,,,,
7235,"Russian,English,Ukrainian",Russian,English,Ukrainian,,,,
7236,English,English,,,,,,
7237,English,English,,,,,,
7238,English,English,,,,,,
7239,English,English,,,,,,
7240,English,English,,,,,,
7241,English,English,,,,,,
7242,"Italian,English",Italian,English,,,,,
7243,English,English,,,,,,
7244,English,English,,,,,,
7245,"English,Russian,Arabic",English,Russian,Arabic,,,,
7246,"Italian,Sinhala",Italian,Sinhala,,,,,
7247,English,English,,,,,,
7248,English,English,,,,,,
7249,English,English,,,,,,
7250,"English,American Sign Language",English,American Sign Language,,,,,
7251,English,English,,,,,,
7252,English,English,,,,,,
7253,English,English,,,,,,
7254,English,English,,,,,,
7255,"Japanese,English",Japanese,English,,,,,
7256,Malayalam,Malayalam,,,,,,
7257,Spanish,Spanish,,,,,,
7258,English,English,,,,,,
7259,English,English,,,,,,
7260,English,English,,,,,,
7261,English,English,,,,,,
7262,Telugu,Telugu,,,,,,
7263,English,English,,,,,,
7264,,,,,,,,
7265,English,English,,,,,,
7266,English,English,,,,,,
7267,English,English,,,,,,
7268,English,English,,,,,,
7269,English,English,,,,,,
7270,Hindi,Hindi,,,,,,
7271,English,English,,,,,,
7272,English,English,,,,,,
7273,English,English,,,,,,
7274,English,English,,,,,,
7275,English,English,,,,,,
7276,English,English,,,,,,
7277,English,English,,,,,,
7278,English,English,,,,,,
7279,English,English,,,,,,
7280,English,English,,,,,,
7281,"Spanish,English",Spanish,English,,,,,
7282,"English,German",English,German,,,,,
7283,English,English,,,,,,
7284,English,English,,,,,,
7285,English,English,,,,,,
7286,English,English,,,,,,
7287,"English,German",English,German,,,,,
7288,English,English,,,,,,
7289,English,English,,,,,,
7290,Hindi,Hindi,,,,,,
7291,English,English,,,,,,
7292,English,English,,,,,,
7293,English,English,,,,,,
7294,English,English,,,,,,
7295,Tamil,Tamil,,,,,,
7296,English,English,,,,,,
7297,English,English,,,,,,
7298,English,English,,,,,,
7299,English,English,,,,,,
7300,English,English,,,,,,
7301,English,English,,,,,,
7302,English,English,,,,,,
7303,English,English,,,,,,
7304,English,English,,,,,,
7305,English,English,,,,,,
7306,English,English,,,,,,
7307,English,English,,,,,,
7308,,,,,,,,
7309,English,English,,,,,,
7310,English,English,,,,,,
7311,English,English,,,,,,
7312,English,English,,,,,,
7313,English,English,,,,,,
7314,"None,English",None,English,,,,,
7315,English,English,,,,,,
7316,English,English,,,,,,
7317,English,English,,,,,,
7318,English,English,,,,,,
7319,English,English,,,,,,
7320,English,English,,,,,,
7321,English,English,,,,,,
7322,,,,,,,,
7323,German,German,,,,,,
7324,English,English,,,,,,
7325,English,English,,,,,,
7326,English,English,,,,,,
7327,English,English,,,,,,
7328,English,English,,,,,,
7329,Urdu,Urdu,,,,,,
7330,English,English,,,,,,
7331,English,English,,,,,,
7332,English,English,,,,,,
7333,English,English,,,,,,
7334,English,English,,,,,,
7335,English,English,,,,,,
7336,English,English,,,,,,
7337,English,English,,,,,,
7338,,,,,,,,
7339,,,,,,,,
7340,English,English,,,,,,
7341,English,English,,,,,,
7342,,,,,,,,
7343,English,English,,,,,,
7344,English,English,,,,,,
7345,"Catalan,English,Basque,Spanish",Catalan,English,Basque,Spanish,,,
7346,English,English,,,,,,
7347,English,English,,,,,,
7348,,,,,,,,
7349,English,English,,,,,,
7350,Japanese,Japanese,,,,,,
7351,English,English,,,,,,
7352,,,,,,,,
7353,English,English,,,,,,
7354,English,English,,,,,,
7355,"English,Spanish",English,Spanish,,,,,
7356,Malayalam,Malayalam,,,,,,
7357,English,English,,,,,,
7358,English,English,,,,,,
7359,English,English,,,,,,
7360,English,English,,,,,,
7361,English,English,,,,,,
7362,English,English,,,,,,
7363,Japanese,Japanese,,,,,,
7364,English,English,,,,,,
7365,English,English,,,,,,
7366,Mandarin,Mandarin,,,,,,
7367,English,English,,,,,,
7368,English,English,,,,,,
7369,Italian,Italian,,,,,,
7370,English,English,,,,,,
7371,English,English,,,,,,
7372,"English,Hebrew",English,Hebrew,,,,,
7373,,,,,,,,
7374,English,English,,,,,,
7375,English,English,,,,,,
7376,English,English,,,,,,
7377,English,English,,,,,,
7378,English,English,,,,,,
7379,English,English,,,,,,
7380,English,English,,,,,,
7381,English,English,,,,,,
7382,English,English,,,,,,
7383,English,English,,,,,,
7384,English,English,,,,,,
7385,English,English,,,,,,
7386,English,English,,,,,,
7387,"English,German,Italian,Arabic",English,German,Italian,Arabic,,,
7388,English,English,,,,,,
7389,Thai,Thai,,,,,,
7390,English,English,,,,,,
7391,English,English,,,,,,
7392,English,English,,,,,,
7393,French,French,,,,,,
7394,English,English,,,,,,
7395,"Swedish,Serbian",Swedish,Serbian,,,,,
7396,"German,English",German,English,,,,,
7397,English,English,,,,,,
7398,English,English,,,,,,
7399,English,English,,,,,,
7400,English,English,,,,,,
7401,English,English,,,,,,
7402,English,English,,,,,,
7403,English,English,,,,,,
7404,English,English,,,,,,
7405,English,English,,,,,,
7406,English,English,,,,,,
7407,English,English,,,,,,
7408,German,German,,,,,,
7409,English,English,,,,,,
7410,English,English,,,,,,
7411,"Hindi,Punjabi,English",Hindi,Punjabi,English,,,,
7412,English,English,,,,,,
7413,English,English,,,,,,
7414,English,English,,,,,,
7415,English,English,,,,,,
7416,English,English,,,,,,
7417,Mandarin,Mandarin,,,,,,
7418,English,English,,,,,,
7419,English,English,,,,,,
7420,English,English,,,,,,
7421,English,English,,,,,,
7422,English,English,,,,,,
7423,French,French,,,,,,
7424,English,English,,,,,,
7425,,,,,,,,
7426,English,English,,,,,,
7427,English,English,,,,,,
7428,English,English,,,,,,
7429,English,English,,,,,,
7430,English,English,,,,,,
7431,English,English,,,,,,
7432,English,English,,,,,,
7433,English,English,,,,,,
7434,English,English,,,,,,
7435,English,English,,,,,,
7436,English,English,,,,,,
7437,English,English,,,,,,
7438,English,English,,,,,,
7439,English,English,,,,,,
7440,English,English,,,,,,
7441,English,English,,,,,,
7442,English,English,,,,,,
7443,English,English,,,,,,
7444,English,English,,,,,,
7445,English,English,,,,,,
7446,English,English,,,,,,
7447,English,English,,,,,,
7448,English,English,,,,,,
7449,English,English,,,,,,
7450,English,English,,,,,,
7451,English,English,,,,,,
7452,Kannada,Kannada,,,,,,
7453,English,English,,,,,,
7454,English,English,,,,,,
7455,English,English,,,,,,
7456,English,English,,,,,,
7457,English,English,,,,,,
7458,"Italian,English",Italian,English,,,,,
7459,English,English,,,,,,
7460,English,English,,,,,,
7461,English,English,,,,,,
7462,English,English,,,,,,
7463,English,English,,,,,,
7464,"Ukrainian,English",Ukrainian,English,,,,,
7465,,,,,,,,
7466,English,English,,,,,,
7467,"Tagalog,Filipino",Tagalog,Filipino,,,,,
7468,English,English,,,,,,
7469,English,English,,,,,,
7470,English,English,,,,,,
7471,English,English,,,,,,
7472,English,English,,,,,,
7473,English,English,,,,,,
7474,English,English,,,,,,
7475,English,English,,,,,,
7476,English,English,,,,,,
7477,English,English,,,,,,
7478,English,English,,,,,,
7479,English,English,,,,,,
7480,,,,,,,,
7481,Spanish,Spanish,,,,,,
7482,English,English,,,,,,
7483,English,English,,,,,,
7484,English,English,,,,,,
7485,,,,,,,,
7486,Bangla,Bangla,,,,,,
7487,,,,,,,,
7488,English,English,,,,,,
7489,English,English,,,,,,
7490,English,English,,,,,,
7491,English,English,,,,,,
7492,,,,,,,,
7493,English,English,,,,,,
7494,English,English,,,,,,
7495,English,English,,,,,,
7496,,,,,,,,
7497,English,English,,,,,,
7498,Telugu,Telugu,,,,,,
7499,English,English,,,,,,
7500,English,English,,,,,,
7501,,,,,,,,
7502,Marathi,Marathi,,,,,,
7503,English,English,,,,,,
7504,English,English,,,,,,
7505,English,English,,,,,,
7506,English,English,,,,,,
7507,Kannada,Kannada,,,,,,
7508,English,English,,,,,,
7509,English,English,,,,,,
7510,English,English,,,,,,
7511,English,English,,,,,,
7512,English,English,,,,,,
7513,English,English,,,,,,
7514,English,English,,,,,,
7515,English,English,,,,,,
7516,,,,,,,,
7517,English,English,,,,,,
7518,English,English,,,,,,
7519,Spanish,Spanish,,,,,,
7520,English,English,,,,,,
7521,"English,Ojibwa",English,Ojibwa,,,,,
7522,English,English,,,,,,
7523,"Ukrainian,Polish",Ukrainian,Polish,,,,,
7524,German,German,,,,,,
7525,English,English,,,,,,
7526,English,English,,,,,,
7527,English,English,,,,,,
7528,German,German,,,,,,
7529,English,English,,,,,,
7530,Korean,Korean,,,,,,
7531,English,English,,,,,,
7532,Telugu,Telugu,,,,,,
7533,English,English,,,,,,
7534,English,English,,,,,,
7535,,,,,,,,
7536,English,English,,,,,,
7537,English,English,,,,,,
7538,English,English,,,,,,
7539,English,English,,,,,,
7540,English,English,,,,,,
7541,English,English,,,,,,
7542,English,English,,,,,,
7543,English,English,,,,,,
7544,English,English,,,,,,
7545,English,English,,,,,,
7546,"English,Spanish",English,Spanish,,,,,
7547,English,English,,,,,,
7548,Hindi,Hindi,,,,,,
7549,English,English,,,,,,
7550,English,English,,,,,,
7551,English,English,,,,,,
7552,English,English,,,,,,
7553,English,English,,,,,,
7554,English,English,,,,,,
7555,English,English,,,,,,
7556,English,English,,,,,,
7557,English,English,,,,,,
7558,English,English,,,,,,
7559,English,English,,,,,,
7560,English,English,,,,,,
7561,English,English,,,,,,
7562,English,English,,,,,,
7563,English,English,,,,,,
7564,English,English,,,,,,
7565,"English,American Sign Language",English,American Sign Language,,,,,
7566,English,English,,,,,,
7567,English,English,,,,,,
7568,English,English,,,,,,
7569,Hindi,Hindi,,,,,,
7570,English,English,,,,,,
7571,English,English,,,,,,
7572,English,English,,,,,,
7573,English,English,,,,,,
7574,English,English,,,,,,
7575,"Mandarin,Cantonese,English",Mandarin,Cantonese,English,,,,
7576,English,English,,,,,,
7577,English,English,,,,,,
7578,English,English,,,,,,
7579,,,,,,,,
7580,English,English,,,,,,
7581,English,English,,,,,,
7582,English,English,,,,,,
7583,English,English,,,,,,
7584,English,English,,,,,,
7585,English,English,,,,,,
7586,English,English,,,,,,
7587,English,English,,,,,,
7588,English,English,,,,,,
7589,Hindi,Hindi,,,,,,
7590,"French,English",French,English,,,,,
7591,English,English,,,,,,
7592,English,English,,,,,,
7593,English,English,,,,,,
7594,English,English,,,,,,
7595,English,English,,,,,,
7596,English,English,,,,,,
7597,,,,,,,,
7598,English,English,,,,,,
7599,English,English,,,,,,
7600,English,English,,,,,,
7601,English,English,,,,,,
7602,English,English,,,,,,
7603,English,English,,,,,,
7604,,,,,,,,
7605,English,English,,,,,,
7606,English,English,,,,,,
7607,English,English,,,,,,
7608,English,English,,,,,,
7609,English,English,,,,,,
7610,"Mandarin,Cantonese",Mandarin,Cantonese,,,,,
7611,Spanish,Spanish,,,,,,
7612,English,English,,,,,,
7613,English,English,,,,,,
7614,English,English,,,,,,
7615,English,English,,,,,,
7616,English,English,,,,,,
7617,English,English,,,,,,
7618,English,English,,,,,,
7619,English,English,,,,,,
7620,English,English,,,,,,
7621,English,English,,,,,,
7622,English,English,,,,,,
7623,English,English,,,,,,
7624,English,English,,,,,,
7625,English,English,,,,,,
7626,English,English,,,,,,
7627,English,English,,,,,,
7628,Tamil,Tamil,,,,,,
7629,"English,Russian",English,Russian,,,,,
7630,English,English,,,,,,
7631,English,English,,,,,,
7632,English,English,,,,,,
7633,English,English,,,,,,
7634,English,English,,,,,,
7635,English,English,,,,,,
7636,English,English,,,,,,
7637,"English,Italian",English,Italian,,,,,
7638,Italian,Italian,,,,,,
7639,Malayalam,Malayalam,,,,,,
7640,English,English,,,,,,
7641,Hindi,Hindi,,,,,,
7642,English,English,,,,,,
7643,English,English,,,,,,
7644,English,English,,,,,,
7645,English,English,,,,,,
7646,"English,Swedish",English,Swedish,,,,,
7647,English,English,,,,,,
7648,English,English,,,,,,
7649,English,English,,,,,,
7650,English,English,,,,,,
7651,English,English,,,,,,
7652,English,English,,,,,,
7653,English,English,,,,,,
7654,,,,,,,,
7655,English,English,,,,,,
7656,English,English,,,,,,
7657,English,English,,,,,,
7658,English,English,,,,,,
7659,English,English,,,,,,
7660,English,English,,,,,,
7661,English,English,,,,,,
7662,English,English,,,,,,
7663,English,English,,,,,,
7664,English,English,,,,,,
7665,,,,,,,,
7666,English,English,,,,,,
7667,English,English,,,,,,
7668,English,English,,,,,,
7669,English,English,,,,,,
7670,English,English,,,,,,
7671,English,English,,,,,,
7672,English,English,,,,,,
7673,English,English,,,,,,
7674,English,English,,,,,,
7675,English,English,,,,,,
7676,English,English,,,,,,
7677,English,English,,,,,,
7678,English,English,,,,,,
7679,English,English,,,,,,
7680,Tamil,Tamil,,,,,,
7681,Spanish,Spanish,,,,,,
7682,English,English,,,,,,
7683,English,English,,,,,,
7684,English,English,,,,,,
7685,English,English,,,,,,
7686,English,English,,,,,,
7687,English,English,,,,,,
7688,Hindi,Hindi,,,,,,
7689,English,English,,,,,,
7690,English,English,,,,,,
7691,English,English,,,,,,
7692,Italian,Italian,,,,,,
7693,English,English,,,,,,
7694,English,English,,,,,,
7695,"English,Yiddish,Polish",English,Yiddish,Polish,,,,
7696,English,English,,,,,,
7697,English,English,,,,,,
7698,English,English,,,,,,
7699,"English,Italian",English,Italian,,,,,
7700,Telugu,Telugu,,,,,,
7701,English,English,,,,,,
7702,English,English,,,,,,
7703,English,English,,,,,,
7704,English,English,,,,,,
7705,English,English,,,,,,
7706,,,,,,,,
7707,English,English,,,,,,
7708,English,English,,,,,,
7709,Spanish,Spanish,,,,,,
7710,"Spanish,English",Spanish,English,,,,,
7711,English,English,,,,,,
7712,English,English,,,,,,
7713,English,English,,,,,,
7714,English,English,,,,,,
7715,Italian,Italian,,,,,,
7716,English,English,,,,,,
7717,English,English,,,,,,
7718,English,English,,,,,,
7719,English,English,,,,,,
7720,English,English,,,,,,
7721,"Italian,English",Italian,English,,,,,
7722,English,English,,,,,,
7723,English,English,,,,,,
7724,English,English,,,,,,
7725,English,English,,,,,,
7726,English,English,,,,,,
7727,English,English,,,,,,
7728,English,English,,,,,,
7729,English,English,,,,,,
7730,English,English,,,,,,
7731,English,English,,,,,,
7732,Italian,Italian,,,,,,
7733,English,English,,,,,,
7734,English,English,,,,,,
7735,English,English,,,,,,
7736,English,English,,,,,,
7737,German,German,,,,,,
7738,English,English,,,,,,
7739,,,,,,,,
7740,English,English,,,,,,
7741,English,English,,,,,,
7742,English,English,,,,,,
7743,English,English,,,,,,
7744,English,English,,,,,,
7745,English,English,,,,,,
7746,English,English,,,,,,
7747,"English,Swahili",English,Swahili,,,,,
7748,Tamil,Tamil,,,,,,
7749,English,English,,,,,,
7750,English,English,,,,,,
7751,,,,,,,,
7752,English,English,,,,,,
7753,English,English,,,,,,
7754,English,English,,,,,,
7755,English,English,,,,,,
7756,Spanish,Spanish,,,,,,
7757,English,English,,,,,,
7758,English,English,,,,,,
7759,English,English,,,,,,
7760,English,English,,,,,,
7761,,,,,,,,
7762,English,English,,,,,,
7763,English,English,,,,,,
7764,English,English,,,,,,
7765,English,English,,,,,,
7766,English,English,,,,,,
7767,English,English,,,,,,
7768,"English,Hebrew",English,Hebrew,,,,,
7769,Hindi,Hindi,,,,,,
7770,English,English,,,,,,
7771,Italian,Italian,,,,,,
7772,English,English,,,,,,
7773,English,English,,,,,,
7774,English,English,,,,,,
7775,"Danish,English",Danish,English,,,,,
7776,German,German,,,,,,
7777,English,English,,,,,,
7778,Hindi,Hindi,,,,,,
7779,English,English,,,,,,
7780,English,English,,,,,,
7781,English,English,,,,,,
7782,English,English,,,,,,
7783,English,English,,,,,,
7784,English,English,,,,,,
7785,English,English,,,,,,
7786,English,English,,,,,,
7787,English,English,,,,,,
7788,English,English,,,,,,
7789,English,English,,,,,,
7790,English,English,,,,,,
7791,Hindi,Hindi,,,,,,
7792,English,English,,,,,,
7793,English,English,,,,,,
7794,Hindi,Hindi,,,,,,
7795,English,English,,,,,,
7796,"English,Korean,Dutch",English,Korean,Dutch,,,,
7797,English,English,,,,,,
7798,English,English,,,,,,
7799,Italian,Italian,,,,,,
7800,English,English,,,,,,
7801,English,English,,,,,,
7802,English,English,,,,,,
7803,Danish,Danish,,,,,,
7804,English,English,,,,,,
7805,English,English,,,,,,
7806,English,English,,,,,,
7807,English,English,,,,,,
7808,English,English,,,,,,
7809,English,English,,,,,,
7810,English,English,,,,,,
7811,Mandarin,Mandarin,,,,,,
7812,English,English,,,,,,
7813,English,English,,,,,,
7814,English,English,,,,,,
7815,,,,,,,,
7816,English,English,,,,,,
7817,English,English,,,,,,
7818,English,English,,,,,,
7819,English,English,,,,,,
7820,English,English,,,,,,
7821,English,English,,,,,,
7822,English,English,,,,,,
7823,English,English,,,,,,
7824,English,English,,,,,,
7825,English,English,,,,,,
7826,English,English,,,,,,
7827,"English,American Sign Language",English,American Sign Language,,,,,
7828,English,English,,,,,,
7829,English,English,,,,,,
7830,"English,French,Spanish",English,French,Spanish,,,,
7831,English,English,,,,,,
7832,German,German,,,,,,
7833,English,English,,,,,,
7834,English,English,,,,,,
7835,English,English,,,,,,
7836,"Portuguese,Afrikaans,English",Portuguese,Afrikaans,English,,,,
7837,English,English,,,,,,
7838,English,English,,,,,,
7839,English,English,,,,,,
7840,,,,,,,,
7841,English,English,,,,,,
7842,English,English,,,,,,
7843,Bangla,Bangla,,,,,,
7844,English,English,,,,,,
7845,English,English,,,,,,
7846,English,English,,,,,,
7847,"Mandarin,English",Mandarin,English,,,,,
7848,,,,,,,,
7849,English,English,,,,,,
7850,English,English,,,,,,
7851,English,English,,,,,,
7852,"English,Spanish",English,Spanish,,,,,
7853,English,English,,,,,,
7854,English,English,,,,,,
7855,English,English,,,,,,
7856,English,English,,,,,,
7857,English,English,,,,,,
7858,English,English,,,,,,
7859,English,English,,,,,,
7860,,,,,,,,
7861,Dutch,Dutch,,,,,,
7862,English,English,,,,,,
7863,English,English,,,,,,
7864,Tamil,Tamil,,,,,,
7865,English,English,,,,,,
7866,"English,Japanese",English,Japanese,,,,,
7867,English,English,,,,,,
7868,English,English,,,,,,
7869,English,English,,,,,,
7870,English,English,,,,,,
7871,English,English,,,,,,
7872,Italian,Italian,,,,,,
7873,English,English,,,,,,
7874,English,English,,,,,,
7875,English,English,,,,,,
7876,English,English,,,,,,
7877,Korean,Korean,,,,,,
7878,Punjabi,Punjabi,,,,,,
7879,English,English,,,,,,
7880,"English,French",English,French,,,,,
7881,,,,,,,,
7882,English,English,,,,,,
7883,"German,English",German,English,,,,,
7884,English,English,,,,,,
7885,English,English,,,,,,
7886,English,English,,,,,,
7887,English,English,,,,,,
7888,"English,Spanish",English,Spanish,,,,,
7889,English,English,,,,,,
7890,English,English,,,,,,
7891,English,English,,,,,,
7892,English,English,,,,,,
7893,English,English,,,,,,
7894,English,English,,,,,,
7895,,,,,,,,
7896,English,English,,,,,,
7897,English,English,,,,,,
7898,English,English,,,,,,
7899,Mandarin,Mandarin,,,,,,
7900,English,English,,,,,,
7901,English,English,,,,,,
7902,English,English,,,,,,
7903,English,English,,,,,,
7904,English,English,,,,,,
7905,"English,Polish",English,Polish,,,,,
7906,English,English,,,,,,
7907,English,English,,,,,,
7908,Mandarin,Mandarin,,,,,,
7909,English,English,,,,,,
7910,English,English,,,,,,
7911,English,English,,,,,,
7912,English,English,,,,,,
7913,"Korean,Mandarin,English",Korean,Mandarin,English,,,,
7914,English,English,,,,,,
7915,English,English,,,,,,
7916,English,English,,,,,,
7917,English,English,,,,,,
7918,Telugu,Telugu,,,,,,
7919,Spanish,Spanish,,,,,,
7920,English,English,,,,,,
7921,English,English,,,,,,
7922,English,English,,,,,,
7923,English,English,,,,,,
7924,English,English,,,,,,
7925,English,English,,,,,,
7926,English,English,,,,,,
7927,Punjabi,Punjabi,,,,,,
7928,English,English,,,,,,
7929,English,English,,,,,,
7930,English,English,,,,,,
7931,English,English,,,,,,
7932,"Tagalog,English",Tagalog,English,,,,,
7933,English,English,,,,,,
7934,English,English,,,,,,
7935,English,English,,,,,,
7936,Korean,Korean,,,,,,
7937,English,English,,,,,,
7938,English,English,,,,,,
7939,English,English,,,,,,
7940,English,English,,,,,,
7941,English,English,,,,,,
7942,English,English,,,,,,
7943,English,English,,,,,,
7944,English,English,,,,,,
7945,English,English,,,,,,
7946,English,English,,,,,,
7947,English,English,,,,,,
7948,English,English,,,,,,
7949,English,English,,,,,,
7950,English,English,,,,,,
7951,English,English,,,,,,
7952,"Arabic,English",Arabic,English,,,,,
7953,Italian,Italian,,,,,,
7954,English,English,,,,,,
7955,English,English,,,,,,
7956,English,English,,,,,,
7957,German,German,,,,,,
7958,English,English,,,,,,
7959,English,English,,,,,,
7960,English,English,,,,,,
7961,"Hindi,English",Hindi,English,,,,,
7962,English,English,,,,,,
7963,English,English,,,,,,
7964,English,English,,,,,,
7965,English,English,,,,,,
7966,English,English,,,,,,
7967,English,English,,,,,,
7968,English,English,,,,,,
7969,English,English,,,,,,
7970,English,English,,,,,,
7971,English,English,,,,,,
7972,English,English,,,,,,
7973,English,English,,,,,,
7974,"Spanish,English",Spanish,English,,,,,
7975,English,English,,,,,,
7976,Mandarin,Mandarin,,,,,,
7977,English,English,,,,,,
7978,English,English,,,,,,
7979,English,English,,,,,,
7980,English,English,,,,,,
7981,English,English,,,,,,
7982,English,English,,,,,,
7983,English,English,,,,,,
7984,English,English,,,,,,
7985,English,English,,,,,,
7986,"Tagalog,Filipino",Tagalog,Filipino,,,,,
7987,English,English,,,,,,
7988,English,English,,,,,,
7989,,,,,,,,
7990,Telugu,Telugu,,,,,,
7991,Hindi,Hindi,,,,,,
7992,English,English,,,,,,
7993,English,English,,,,,,
7994,English,English,,,,,,
7995,English,English,,,,,,
7996,English,English,,,,,,
7997,,,,,,,,
7998,,,,,,,,
7999,English,English,,,,,,
8000,English,English,,,,,,
8001,English,English,,,,,,
8002,"English,Zulu",English,Zulu,,,,,
8003,"Norwegian,English",Norwegian,English,,,,,
8004,English,English,,,,,,
8005,English,English,,,,,,
8006,English,English,,,,,,
8007,English,English,,,,,,
8008,English,English,,,,,,
8009,,,,,,,,
8010,Hindi,Hindi,,,,,,
8011,English,English,,,,,,
8012,English,English,,,,,,
8013,English,English,,,,,,
8014,English,English,,,,,,
8015,English,English,,,,,,
8016,"English,Hindi,French",English,Hindi,French,,,,
8017,English,English,,,,,,
8018,"Greek,Turkish",Greek,Turkish,,,,,
8019,English,English,,,,,,
8020,English,English,,,,,,
8021,English,English,,,,,,
