,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
611,English,English,,,,,,
612,English,English,,,,,,
613,English,English,,,,,,
614,English,English,,,,,,
615,English,English,,,,,,
616,"Japanese,English",Japanese,English,,,,,
617,"Telugu,Tamil,Hindi",Telugu,Tamil,Hindi,,,,
618,"English,Armenian,German,French,Turkish",English,Armenian,German,French,Turkish,,
619,English,English,,,,,,
620,"Mandarin,English",Mandarin,English,,,,,
621,"Thai,English",Thai,English,,,,,
622,English,English,,,,,,
623,Hindi,Hindi,,,,,,
624,"English,Italian,Portuguese",English,Italian,Portuguese,,,,
625,English,English,,,,,,
626,English,English,,,,,,
627,"Russian,Spanish,Finnish",Russian,Spanish,Finnish,,,,
628,Hindi,Hindi,,,,,,
629,English,English,,,,,,
630,Hindi,Hindi,,,,,,
631,Hindi,Hindi,,,,,,
632,English,English,,,,,,
633,"English,Chinese",English,Chinese,,,,,
634,"English,Chinese",English,Chinese,,,,,
635,English,English,,,,,,
636,English,English,,,,,,
637,English,English,,,,,,
638,Hindi,Hindi,,,,,,
639,English,English,,,,,,
640,English,English,,,,,,
641,Japanese,Japanese,,,,,,
642,Telugu,Telugu,,,,,,
643,"Hindi,Marathi,English",Hindi,Marathi,English,,,,
644,English,English,,,,,,
645,English,English,,,,,,
646,English,English,,,,,,
647,English,English,,,,,,
648,Japanese,Japanese,,,,,,
649,English,English,,,,,,
650,"Japanese,English,German",Japanese,English,German,,,,
651,English,English,,,,,,
652,English,English,,,,,,
653,English,English,,,,,,
654,Arabic,Arabic,,,,,,
655,Russian,Russian,,,,,,
656,English,English,,,,,,
657,English,English,,,,,,
658,English,English,,,,,,
659,English,English,,,,,,
660,Italian,Italian,,,,,,
661,French,French,,,,,,
662,English,English,,,,,,
663,"Mandarin,Cantonese,Japanese",Mandarin,Cantonese,Japanese,,,,
664,English,English,,,,,,
665,English,English,,,,,,
666,English,English,,,,,,
667,"English,Aboriginal",English,Aboriginal,,,,,
668,"English,French",English,French,,,,,
669,English,English,,,,,,
670,English,English,,,,,,
671,"English,Spanish",English,Spanish,,,,,
672,English,English,,,,,,
673,English,English,,,,,,
674,"Japanese,English,Chinese",Japanese,English,Chinese,,,,
675,"Japanese,English",Japanese,English,,,,,
676,English,English,,,,,,
677,English,English,,,,,,
678,"Hindi,English",Hindi,English,,,,,
679,English,English,,,,,,
680,English,English,,,,,,
681,"English,Polish,Yiddish",English,Polish,Yiddish,,,,
682,English,English,,,,,,
683,English,English,,,,,,
684,English,English,,,,,,
685,English,English,,,,,,
686,"Hindi,English",Hindi,English,,,,,
687,English,English,,,,,,
688,"English,Chinese",English,Chinese,,,,,
689,Korean,Korean,,,,,,
690,Hindi,Hindi,,,,,,
691,Portuguese,Portuguese,,,,,,
692,English,English,,,,,,
693,English,English,,,,,,
694,English,English,,,,,,
695,Hindi,Hindi,,,,,,
696,"Khmer,English,French",Khmer,English,French,,,,
697,English,English,,,,,,
698,French,French,,,,,,
699,Hindi,Hindi,,,,,,
700,English,English,,,,,,
701,English,English,,,,,,
702,Romanian,Romanian,,,,,,
703,Spanish,Spanish,,,,,,
704,English,English,,,,,,
705,English,English,,,,,,
706,"English,German,Russian",English,German,Russian,,,,
707,English,English,,,,,,
708,English,English,,,,,,
709,English,English,,,,,,
710,English,English,,,,,,
711,English,English,,,,,,
712,"English,German",English,German,,,,,
713,English,English,,,,,,
714,"English,Afrikaans,Xhosa",English,Afrikaans,Xhosa,,,,
715,Hindi,Hindi,,,,,,
716,"Swedish,English,Danish",Swedish,English,Danish,,,,
717,English,English,,,,,,
718,English,English,,,,,,
719,English,English,,,,,,
720,Hindi,Hindi,,,,,,
721,Turkish,Turkish,,,,,,
722,English,English,,,,,,
723,"English,Norwegian,Latin",English,Norwegian,Latin,,,,
724,"English,Russian",English,Russian,,,,,
725,English,English,,,,,,
726,English,English,,,,,,
727,English,English,,,,,,
728,English,English,,,,,,
729,"English,Latin",English,Latin,,,,,
730,English,English,,,,,,
731,Tamil,Tamil,,,,,,
732,,,,,,,,
733,"English,Spanish",English,Spanish,,,,,
734,"German,English,Arabic",German,English,Arabic,,,,
735,English,English,,,,,,
736,English,English,,,,,,
737,"Japanese,English",Japanese,English,,,,,
738,English,English,,,,,,
739,English,English,,,,,,
740,Arabic,Arabic,,,,,,
741,"Flemish,Dutch",Flemish,Dutch,,,,,
742,"English,Spanish",English,Spanish,,,,,
743,"English,Spanish",English,Spanish,,,,,
744,English,English,,,,,,
745,English,English,,,,,,
746,"English,Spanish",English,Spanish,,,,,
